model,model_key,condition_type,intervention,split,n,correct,invalid,acc_all,acc_valid_only,delta_acc_all
GPT-5.5,gpt55_base,baseline,86_nonsense_replace,noncommonsense,10240,6466,0,0.6314,0.6314,-0.1647
GPT-5.5,gpt55_base,baseline,86_nonsense_replace,pooled,41748,26646,0,0.6383,0.6383,-0.1674
GPT-5.5,gpt55_base,baseline,94_drop_background,easy,10560,7872,0,0.7455,0.7455,-0.0562
GPT-5.5,gpt55_base,baseline,94_drop_background,hard,10556,7786,0,0.7376,0.7376,-0.0546
GPT-5.5,gpt55_base,baseline,94_drop_background,anticommonsense,10392,7593,0,0.7307,0.7307,-0.1022
GPT-5.5,gpt55_base,baseline,94_drop_background,noncommonsense,10240,7580,0,0.7402,0.7402,-0.056
GPT-5.5,gpt55_base,baseline,94_drop_background,pooled,41748,30831,0,0.7385,0.7385,-0.0672
GPT-5.5,gpt55_base,baseline,96_probability_expander,easy,7272,5106,0,0.7021,0.7021,-0.0995
GPT-5.5,gpt55_base,baseline,96_probability_expander,hard,7268,5087,0,0.6999,0.6999,-0.0922
GPT-5.5,gpt55_base,baseline,96_probability_expander,anticommonsense,7636,5394,0,0.7064,0.7064,-0.1265
GPT-5.5,gpt55_base,baseline,96_probability_expander,noncommonsense,7040,4973,0,0.7064,0.7064,-0.0898
GPT-5.5,gpt55_base,baseline,96_probability_expander,pooled,29216,20560,0,0.7037,0.7037,-0.1019
